Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Revenue
2001,2024-01-04,C101,Rahul,Laptop,Electronics,1,45000
2002,2024-01-15,C102,Neha,Mobile,Electronics,1,18000
2003,2024-02-02,C103,Amit,Office Chair,Furniture,1,9000
2004,2024-02-20,C101,Rahul,Headphones,Electronics,1,3000
2005,2024-03-05,C104,Priya,Shoes,Fashion,2,6000
2006,2024-03-22,C105,Kunal,Watch,Fashion,1,12000
2007,2024-04-03,C102,Neha,Tablet,Electronics,1,22000
2008,2024-04-18,C106,Suman,Books,Education,3,4500
2009,2024-05-01,C107,Rakesh,Bag,Fashion,2,7000
2010,2024-05-20,C108,Anita,Printer,Electronics,1,14000
2011,2024-06-07,C109,Deepak,Desk,Furniture,1,11000
2012,2024-06-15,C110,Sunita,Laptop,Electronics,1,47000
