Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Revenue,Month,Year
1001,2024-01-05 00:00:00,C001,Alice,Laptop,Electronics,1,60000,2024-01,2024.0
1002,2024-01-06 00:00:00,C002,Bob,Mobile,Electronics,2,40000,2024-01,2024.0
1003,2024-01-07 00:00:00,C003,Charlie,Chair,Furniture,4,12000,2024-01,2024.0
1004,2024-02-10 00:00:00,C001,Alice,Headphones,Electronics,2,6000,2024-02,2024.0
1005,2024-02-15 00:00:00,C004,David,Table,Furniture,1,8000,2024-02,2024.0
1006,2024-03-01 00:00:00,C005,Eva,Laptop,Electronics,1,62000,2024-03,2024.0
1007,2024-03-05 00:00:00,C002,Bob,Shoes,Fashion,3,9000,2024-03,2024.0
1008,2024-03-10 00:00:00,C006,Frank,Watch,Fashion,1,15000,2024-03,2024.0
1009,2024-04-12 00:00:00,C003,Charlie,Mobile,Electronics,1,20000,2024-04,2024.0
1010,2024-04-20 00:00:00,C001,Alice,Sofa,Furniture,1,35000,2024-04,2024.0
1011,2027-05-15 00:00:00,C007,Grace,Dress,Fashion,2,7000,2027-05,2027.0
1012,2024-05-18 00:00:00,C008,Hank,Laptop,Electronics,1,61000,2024-05,2024.0
1013,2024-06-01 00:00:00,C004,David,Headphones,Electronics,1,3000,2024-06,2024.0
1014,2024-06-05 00:00:00,C009,Ivy,Table,Furniture,2,16000,2024-06,2024.0
1015,2024-06-10 00:00:00,C005,Eva,Mobile,Electronics,1,21000,2024-06,2024.0
1016,2024-06-15 00:00:00,C010,Jack,Shoes,Fashion,2,6000,2024-06,2024.0
1017,2024-06-20 00:00:00,C002,Bob,Laptop,Electronics,1,59000,2024-06,2024.0
1018,2025-06-25 00:00:00,C011,Kate,Watch,Fashion,1,15500,2025-06,2025.0
1019,2024-06-30 00:00:00,C003,Charlie,Sofa,Furniture,1,36000,2024-06,2024.0
1020,2024-07-05 00:00:00,C001,Alice,Dress,Fashion,1,3500,2024-07,2024.0
1021,2024-07-10 00:00:00,C012,Liam,Mobile,Electronics,2,42000,2024-07,2024.0
1022,2024-07-15 00:00:00,C013,Mia,Table,Furniture,1,8500,2024-07,2024.0
1023,2024-07-20 00:00:00,C014,Noah,Laptop,Electronics,1,63000,2024-07,2024.0
1024,2026-01-14,ALI,Alice,Laptop,Electronics,1,10000,,
4,2026-01-14,,,,,1,0
1014,2026-01-14,AAR,Aarti,Keyboard,Electronics,1,500
